Player,year_start,year_end
Bimbo Coles,1991,2004
Jason Collier,2001,2005
James Collins,1998,1998
Jarron Collins,2002,2011
Jason Collins,2002,2014
John Collins,2018,2018
Mardy Collins,2007,2010
Sherron Collins,2011,2011
Zach Collins,2018,2018
Kyle Collinsworth,2018,2018
Darren Collison,2010,2018
Nick Collison,2005,2018
Sean Colson,2001,2001
Mike Conley,2008,2018
Marty Conlon,1992,2000
Pat Connaughton,2016,2018
Will Conroy,2007,2013
Anthony Cook,1991,1996
Brian Cook,2004,2012
Daequan Cook,2008,2013
Omar Cook,2004,2005
Quinn Cook,2017,2018
Charles Cooke,2018,2018
Jack Cooley,2015,2018
Duane Cooper,1993,1994
Tom Copa,1992,1992
Chris Copeland,2013,2016
Chris Corchiani,1992,1994
Matt Costello,2018,2018
Bryce Cotton,2015,2016
James Cotton,1998,1999
Joe Courtney,1993,1997
Marcus Cousin,2011,2011
DeMarcus Cousins,2011,2018
Robert Covington,2014,2018
Allen Crabbe,2014,2018
Torrey Craig,2018,2018
Chris Crawford,1998,2004
Jamal Crawford,2001,2018
Joe Crawford,2009,2009
Jordan Crawford,2011,2018
Joe Crispin,2002,2002
Javaris Crittenton,2008,2009
Austin Croshere,1998,2009
John Crotty,1993,2003
Corey Crowder,1992,1995
Jae Crowder,2013,2018
Vonteego Cummings,2000,2002
Dante Cunningham,2010,2018
Jared Cunningham,2013,2016
William Cunningham,1998,1999
Radisav Curcic,1993,1993
Bill Curley,1995,2001
Eddy Curry,2002,2013
JamesOn Curry,2010,2010
Michael Curry,1994,2005
Seth Curry,2014,2017
Stephen Curry,2010,2018
Rastko Cvetkovic,1996,1996
Samuel Dalembert,2002,2015
Erick Dampier,1997,2012
Antonio Daniels,1998,2011
Erik Daniels,2005,2005
Lloyd Daniels,1993,1998
Marquis Daniels,2004,2013
Troy Daniels,2014,2018
Sasha Danilovic,1996,1997
Yinka Dare,1995,1998
Luigi Datome,2014,2015
Kornel David,1999,2001
Jermareo Davidson,2008,2009
Brandon Davies,2014,2015
Anthony Davis,2013,2018
Antonio Davis,1994,2006
Baron Davis,2000,2012
Ben Davis,1997,2000
Brian Davis,1994,1994
Dale Davis,1992,2007
Deyonta Davis,2017,2018
Ed Davis,2011,2018
Emanual Davis,1997,2003
Glen Davis,2008,2015
Hubert Davis,1993,2004
Josh Davis,2004,2012
Mark Davis,1996,2000
Paul Davis,2007,2010
Ricky Davis,1999,2010
Andre Dawkins,2015,2015
Branden Dawson,2016,2016
Eric Dawson,2012,2012
Tony Dawson,1991,1995
Todd Day,1993,2001
Austin Daye,2010,2015
Nando De Colo,2013,2014
Andrew DeClercq,1996,2005
Dewayne Dedmon,2014,2018
Terry Dehere,1994,1999
Bryce Dejean-Jones,2016,2016
Sam Dekker,2016,2018
Malcolm Delaney,2017,2018
Bison Dele,1992,1999
Carlos Delfino,2005,2013
Tony Delk,1997,2006
Matthew Dellavedova,2014,2018
Dell Demps,1994,1997
Luol Deng,2005,2018
Justin Dentmon,2012,2013
DeMar DeRozan,2010,2018
Derrick Dial,2000,2004
Cheick Diallo,2017,2018
Boris Diaw,2004,2017
Yakhouba Diawara,2007,2010
Guillermo Diaz,2008,2008
Dan Dickau,2003,2008
Kaniel Dickens,2004,2008
Michael Dickerson,1999,2003
Travis Diener,2006,2010
Gorgui Dieng,2014,2018
Spencer Dinwiddie,2015,2018
Ike Diogu,2006,2012
DeSagana Diop,2002,2013
Juan Dixon,2003,2009
Aleksandar Djordjevic,1997,1997
Michael Doleac,1999,2008
Keyon Dooling,2001,2013
Joey Dorsey,2009,2015
Tyler Dorsey,2018,2018
Damyean Dotson,2018,2018
Quincy Douby,2007,2009
Toney Douglas,2010,2017
Chris Douglas-Roberts,2009,2015
Zabian Dowdell,2011,2011
Goran Dragic,2009,2018
Zoran Dragic,2015,2015
Bryce Drew,1999,2004
Larry Drew,2015,2015
Nate Driggers,1997,1997
Predrag Drobnjak,2002,2005
Andre Drummond,2013,2018
Jared Dudley,2008,2018
Chris Duhon,2005,2013
Duje Dukan,2016,2016
Richard Dumas,1993,1996
Tony Dumas,1995,1998
Tim Duncan,1998,2016
Mike Dunleavy,2003,2017
Kris Dunn,2017,2018
Ronald Dupree,2004,2011
Kevin Durant,2008,2018
Pat Durham,1993,1995
Jerome Dyson,2012,2012
Acie Earl,1994,1997
Cleanthony Early,2015,2016
Devin Ebanks,2011,2013
Ndudi Ebi,2004,2005
Jarell Eddie,2016,2017
Patrick Eddie,1992,1992
Tyus Edney,1996,2001
Bill Edwards,1994,1994
Corsley Edwards,2005,2005
Doug Edwards,1994,1996
John Edwards,2005,2006
Shane Edwards,2014,2014
Howard Eisley,1995,2006
Obinna Ekezie,2000,2005
Khalid El-Amin,2001,2001
Mario Elie,1991,2001
Henry Ellenson,2017,2018
Wayne Ellington,2010,2018
Harold Ellis,1994,1998
LaPhonso Ellis,1993,2003
LeRon Ellis,1992,1996
Monta Ellis,2006,2017
Francisco Elson,2004,2012
Melvin Ely,2003,2014
Joel Embiid,2017,2018
Andre Emmett,2005,2012
A.J. English,1991,1992
Jo Jo English,1993,1995
Kim English,2013,2013
James Ennis,2015,2018
Tyler Ennis,2015,2018
Semih Erden,2011,2012
Evan Eschmeyer,2000,2003
Vincenzo Esposito,1996,1996
Brian Evans,1997,1999
