,Player,year_start,year_end
1381,Georgios Papagiannis,2017,2018
1382,Kostas Papanikolaou,2015,2016
1383,Jannero Pargo,2003,2015
1384,Jeremy Pargo,2012,2013
1385,Anthony Parker,1998,2012
1386,Jabari Parker,2015,2017
1387,Smush Parker,2003,2008
1388,Tony Parker,2002,2018
1389,Cherokee Parks,1996,2004
1390,Chandler Parsons,2012,2018
1391,Andrae Patterson,1999,2000
1392,Lamar Patterson,2016,2017
1393,Patrick Patterson,2011,2018
1394,Ruben Patterson,1999,2008
1395,Brandon Paul,2018,2018
1396,Chris Paul,2006,2018
1397,Sasha Pavlovic,2004,2013
1398,Adreian Payne,2015,2018
1399,Cameron Payne,2016,2017
1400,Elfrid Payton,2015,2018
1401,Gary Payton,1991,2007
1403,Oleksiy Pecherov,2008,2010
1404,Anthony Peeler,1993,2005
1405,Nikola Pekovic,2011,2016
1406,Mike Penberthy,2001,2002
1407,Desmond Penigar,2004,2004
1408,Kirk Penney,2004,2005
1409,Mike Peplowski,1994,1996
1410,Kendrick Perkins,2004,2016
1411,Kosta Perovic,2008,2008
1412,London Perrantes,2018,2018
1413,Elliot Perry,1992,2002
1414,Wesley Person,1995,2005
1415,Alec Peters,2018,2018
1416,Morris Peterson,2001,2011
1417,Johan Petro,2006,2013
1418,Richard Petruska,1994,1994
1419,Derrick Phelps,1995,1995
1420,Bobby Phills,1992,2000
1421,Eric Piatkowski,1995,2008
1422,Paul Pierce,1999,2017
1423,Mickael Pietrus,2004,2013
1424,Kevinn Pinkney,2007,2007
1425,Dexter Pittman,2011,2014
1426,Zoran Planinic,2004,2006
1427,Tibor Pleiss,2016,2016
1428,Marshall Plumlee,2017,2017
1429,Mason Plumlee,2014,2018
1430,Miles Plumlee,2013,2018
1431,Pavel Podkolzin,2005,2006
1432,Jakob Poeltl,2017,2018
1433,Scot Pollard,1998,2008
1434,Quincy Pondexter,2011,2018
1435,Mark Pope,1998,2005
1436,Chris Porter,2001,2001
1437,Otto Porter,2014,2018
1438,Bobby Portis,2016,2018
1439,Kristaps Porzingis,2016,2018
1440,James Posey,2000,2011
1441,Lavor Postell,2001,2003
1442,Vitaly Potapenko,1997,2007
1443,Leon Powe,2007,2011
1444,Dwight Powell,2015,2018
1445,Josh Powell,2006,2014
1446,Kasib Powell,2008,2008
1447,Norman Powell,2016,2018
1448,Roger Powell,2007,2007
1449,Alex Poythress,2017,2018
1450,Phil Pressey,2014,2016
1451,A.J. Price,2010,2015
1452,Brent Price,1993,2002
1453,Ronnie Price,2006,2017
1454,Pablo Prigioni,2013,2016
1455,Tayshaun Prince,2003,2016
1456,Kevin Pritchard,1991,1996
1457,Laron Profit,2000,2006
1458,Gabe Pruitt,2008,2009
1459,Joel Przybilla,2001,2013
1460,Anthony Pullard,1993,1993
1461,Jacob Pullen,2018,2018
1462,Zhou Qi,2018,2018
1463,Tim Quarterman,2017,2017
1464,Chris Quinn,2007,2013
1465,Ivan Rabb,2018,2018
1466,Dino Radja,1994,1997
