Player,Year,Team, Salary 
Haywoode Workman,1991,Washington Bullets,"  120,000 "
Jim Petersen,1991,Golden State Warriors,"  1,235,000 "
Tyrone Hill,1991,Golden State Warriors,"  1,000,000 "
Mitch Richmond,1991,Golden State Warriors,"  850,000 "
Les Jepsen,1991,Golden State Warriors,"  505,000 "
Rod Higgins,1991,Golden State Warriors,"  500,000 "
Tim Hardaway,1991,Golden State Warriors,"  500,000 "
Tom Tolbert,1991,Golden State Warriors,"  405,000 "
Kevin Pritchard,1991,Golden State Warriors,"  185,000 "
Sarunas Marciulionis,1991,Golden State Warriors,"  1,270,000 "
Paul Mokeski,1991,Golden State Warriors,"  100,000 "
Hakeem Olajuwon,1991,Houston Rockets,"  3,175,000 "
Otis Thorpe,1991,Houston Rockets,"  1,760,000 "
Sleepy Floyd,1991,Houston Rockets,"  1,400,000 "
Larry Smith,1991,Houston Rockets,"  800,000 "
Kenny Smith,1991,Houston Rockets,"  700,000 "
Buck Johnson,1991,Houston Rockets,"  675,000 "
Dave Jamerson,1991,Houston Rockets,"  650,000 "
David Wood,1991,Houston Rockets,"  300,000 "
Mario Elie,1991,Golden State Warriors,"  50,000 "
Adrian Caldwell,1991,Houston Rockets,"  275,000 "
Alton Lister,1991,Golden State Warriors,"  1,700,000 "
Gerald Henderson,1991,Detroit Pistons,"  125,000 "
Bill Hanzlik,1991,Denver Nuggets,"  510,000 "
Jerome Lane,1991,Denver Nuggets,"  500,000 "
Anthony Cook,1991,Denver Nuggets,"  370,000 "
Kenny Battle,1991,Denver Nuggets,"  350,000 "
Marcus Liberty,1991,Denver Nuggets,"  210,000 "
Isiah Thomas,1991,Detroit Pistons,"  2,720,000 "
Bill Laimbeer,1991,Detroit Pistons,"  1,510,000 "
Vinnie Johnson,1991,Detroit Pistons,"  1,400,000 "
Chris Mullin,1991,Golden State Warriors,"  2,850,000 "
Mark Aguirre,1991,Detroit Pistons,"  1,115,000 "
James Edwards,1991,Detroit Pistons,"  935,000 "
Dennis Rodman,1991,Detroit Pistons,"  880,000 "
William Bedford,1991,Detroit Pistons,"  850,000 "
Tree Rollins,1991,Detroit Pistons,"  800,000 "
John Salley,1991,Detroit Pistons,"  575,000 "
Scott Hastings,1991,Detroit Pistons,"  450,000 "
Lance Blanks,1991,Detroit Pistons,"  365,000 "
John Long,1991,Detroit Pistons,"  150,000 "
Joe Dumars,1991,Detroit Pistons,"  1,035,000 "
Todd Lichti,1991,Denver Nuggets,"  565,000 "
Dave Feitl,1991,Houston Rockets,"  275,000 "
Kennard Winchester,1991,Houston Rockets,"  120,000 "
Ken Bannister,1991,Los Angeles Clippers,"  400,000 "
Tom Garrick,1991,Los Angeles Clippers,"  340,000 "
Mike Smrek,1991,Los Angeles Clippers,"  325,000 "
Jeff Martin,1991,Los Angeles Clippers,"  210,000 "
Magic Johnson,1991,Los Angeles Lakers,"  2,400,000 "
Sam Perkins,1991,Los Angeles Lakers,"  1,970,000 "
A.C. Green,1991,Los Angeles Lakers,"  1,750,000 "
James Worthy,1991,Los Angeles Lakers,"  1,600,000 "
Winston Garland,1991,Los Angeles Clippers,"  450,000 "
Byron Scott,1991,Los Angeles Lakers,"  1,100,000 "
Mychal Thompson,1991,Los Angeles Lakers,"  615,000 "
Elden Campbell,1991,Los Angeles Lakers,"  575,000 "
Larry Drew,1991,Los Angeles Lakers,"  550,000 "
Terry Teagle,1991,Los Angeles Lakers,"  550,000 "
Irving Thomas,1991,Los Angeles Lakers,"  120,000 "
Tony Smith,1991,Los Angeles Lakers,"  120,000 "
Willie Burton,1991,Miami Heat,"  2,000,000 "
Alec Kessler,1991,Miami Heat,"  1,600,000 "
Vlade Divac,1991,Los Angeles Lakers,"  770,000 "
Vernon Maxwell,1991,Houston Rockets,"  250,000 "
Gary Grant,1991,Los Angeles Clippers,"  530,000 "
Loy Vaught,1991,Los Angeles Clippers,"  825,000 "
Matt Bullard,1991,Houston Rockets,"  120,000 "
Chuck Person,1991,Indiana Pacers,"  2,150,000 "
LaSalle Thompson,1991,Indiana Pacers,"  2,000,000 "
Rik Smits,1991,Indiana Pacers,"  1,350,000 "
Detlef Schrempf,1991,Indiana Pacers,"  1,160,000 "
George McCloud,1991,Indiana Pacers,"  940,000 "
Mike Sanders,1991,Indiana Pacers,"  760,000 "
Vern Fleming,1991,Indiana Pacers,"  667,000 "
Olden Polynice,1991,Los Angeles Clippers,"  600,000 "
Reggie Miller,1991,Indiana Pacers,"  654,000 "
Micheal Williams,1991,Indiana Pacers,"  325,000 "
Greg Dreiling,1991,Indiana Pacers,"  300,000 "
Kenny Williams,1991,Indiana Pacers,"  175,000 "
Danny Manning,1991,Los Angeles Clippers,"  2,200,000 "
Ron Harper,1991,Los Angeles Clippers,"  1,365,000 "
Ken Norman,1991,Los Angeles Clippers,"  1,050,000 "
Charles Smith,1991,Los Angeles Clippers,"  1,000,000 "
Bo Kimble,1991,Los Angeles Clippers,"  950,000 "
Randy Wittman,1991,Indiana Pacers,"  500,000 "
Orlando Woolridge,1991,Denver Nuggets,"  805,000 "
Michael Adams,1991,Denver Nuggets,"  825,000 "
Joe Wolf,1991,Denver Nuggets,"  990,000 "
Reggie Lewis,1991,Boston Celtics,"  400,000 "
Kevin Gamble,1991,Boston Celtics,"  375,000 "
Derek Smith,1991,Boston Celtics,"  315,000 "
Stojko Vrankovic,1991,Boston Celtics,"  222,000 "
Dave Popson,1991,Boston Celtics,"  80,000 "
A.J. Wynder,1991,Boston Celtics,"  30,000 "
Mike Gminski,1991,Charlotte Hornets,"  1,650,000 "
Kendall Gill,1991,Charlotte Hornets,"  1,500,000 "
Michael Smith,1991,Boston Celtics,"  525,000 "
J.R. Reid,1991,Charlotte Hornets,"  1,250,000 "
Kelly Tripucka,1991,Charlotte Hornets,"  1,000,000 "
Dell Curry,1991,Charlotte Hornets,"  900,000 "
Muggsy Bogues,1991,Charlotte Hornets,"  805,000 "
Rex Chapman,1991,Charlotte Hornets,"  675,000 "
Eric Leckner,1991,Charlotte Hornets,"  485,000 "
Kenny Gattison,1991,Charlotte Hornets,"  355,000 "
Randolph Keys,1991,Charlotte Hornets,"  322,000 "
Steve Scheffler,1991,Charlotte Hornets,"  200,000 "
Johnny Newman,1991,Charlotte Hornets,"  1,200,000 "
Scott Haffner,1991,Charlotte Hornets,"  75,000 "
Dee Brown,1991,Boston Celtics,"  547,000 "
Ed Pinckney,1991,Boston Celtics,"  750,000 "
Moses Malone,1991,Atlanta Hawks,"  2,406,000 "
Dominique Wilkins,1991,Atlanta Hawks,"  2,065,000 "
Jon Koncak,1991,Atlanta Hawks,"  1,550,000 "
Doc Rivers,1991,Atlanta Hawks,"  895,000 "
Rumeal Robinson,1991,Atlanta Hawks,"  800,000 "
Tim McCormick,1991,Atlanta Hawks,"  775,000 "
Kevin Willis,1991,Atlanta Hawks,"  685,000 "
Alexander Volkov,1991,Atlanta Hawks,"  650,000 "
John Bagley,1991,Boston Celtics,"  550,000 "
John Battle,1991,Atlanta Hawks,"  590,000 "
Spud Webb,1991,Atlanta Hawks,"  510,000 "
Gary Leonard,1991,Atlanta Hawks,"  200,000 "
Duane Ferrell,1991,Atlanta Hawks,"  125,000 "
Robert Parish,1991,Boston Celtics,"  2,500,000 "
Larry Bird,1991,Boston Celtics,"  1,500,000 "
Kevin McHale,1991,Boston Celtics,"  1,400,000 "
Brian Shaw,1991,Boston Celtics,"  1,212,000 "
Joe Kleine,1991,Boston Celtics,"  850,000 "
Sidney Moncrief,1991,Atlanta Hawks,"  510,000 "
Michael Jordan,1991,Chicago Bulls,"  2,500,000 "
Bill Cartwright,1991,Chicago Bulls,"  1,100,000 "
Horace Grant,1991,Chicago Bulls,"  1,000,000 "
Henry James,1991,Cleveland Cavaliers,"  75,000 "
Rolando Blackman,1991,Dallas Mavericks,"  1,650,000 "
Derek Harper,1991,Dallas Mavericks,"  1,519,000 "
Fat Lever,1991,Dallas Mavericks,"  1,519,000 "
Alex English,1991,Dallas Mavericks,"  1,500,000 "
Herb Williams,1991,Dallas Mavericks,"  1,000,000 "
Rodney McCray,1991,Dallas Mavericks,"  985,000 "
James Donaldson,1991,Dallas Mavericks,"  880,000 "
Darnell Valentine,1991,Cleveland Cavaliers,"  100,000 "
Roy Tarpley,1991,Dallas Mavericks,"  765,000 "
Brad Davis,1991,Dallas Mavericks,"  600,000 "
Steve Alford,1991,Dallas Mavericks,"  250,000 "
John Shasky,1991,Dallas Mavericks,"  150,000 "
Jim Grandholm,1991,Dallas Mavericks,"  115,000 "
Kelvin Upshaw,1991,Dallas Mavericks,"  30,000 "
Blair Rasmussen,1991,Denver Nuggets,"  2,185,000 "
Mahmoud Abdul-Rauf,1991,Denver Nuggets,"  1,660,000 "
Greg Anderson,1991,Denver Nuggets,"  1,365,000 "
Randy White,1991,Dallas Mavericks,"  730,000 "
Gerald Paddio,1991,Cleveland Cavaliers,"  120,000 "
Milos Babic,1991,Cleveland Cavaliers,"  200,000 "
John Morton,1991,Cleveland Cavaliers,"  350,000 "
Stacey King,1991,Chicago Bulls,"  1,000,000 "
Dennis Hopson,1991,Chicago Bulls,"  915,000 "
Scottie Pippen,1991,Chicago Bulls,"  765,000 "
Cliff Levingston,1991,Chicago Bulls,"  750,000 "
Craig Hodges,1991,Chicago Bulls,"  600,000 "
Will Perdue,1991,Chicago Bulls,"  450,000 "
B.J. Armstrong,1991,Chicago Bulls,"  425,000 "
John Paxson,1991,Chicago Bulls,"  385,000 "
Scott Williams,1991,Chicago Bulls,"  150,000 "
Hot Rod Williams,1991,Cleveland Cavaliers,"  3,785,000 "
Danny Ferry,1991,Cleveland Cavaliers,"  2,640,000 "
Mark Price,1991,Cleveland Cavaliers,"  1,400,000 "
Brad Daugherty,1991,Cleveland Cavaliers,"  1,320,000 "
Larry Nance,1991,Cleveland Cavaliers,"  1,260,000 "
Craig Ehlo,1991,Cleveland Cavaliers,"  925,000 "
Chucky Brown,1991,Cleveland Cavaliers,"  630,000 "
Steve Kerr,1991,Cleveland Cavaliers,"  548,000 "
Derrick Chievous,1991,Cleveland Cavaliers,"  525,000 "
Winston Bennett,1991,Cleveland Cavaliers,"  525,000 "
Glen Rice,1991,Miami Heat,"  1,550,000 "
Rony Seikaly,1991,Miami Heat,"  755,000 "
Greg Foster,1991,Washington Bullets,"  275,000 "
Billy Thompson,1991,Miami Heat,"  400,000 "
Wayman Tisdale,1991,Sacramento Kings,"  2,330,000 "
Ralph Sampson,1991,Sacramento Kings,"  2,250,000 "
Lionel Simmons,1991,Sacramento Kings,"  930,000 "
Travis Mays,1991,Sacramento Kings,"  800,000 "
Bill Wennington,1991,Sacramento Kings,"  700,000 "
Duane Causwell,1991,Sacramento Kings,"  650,000 "
Antoine Carr,1991,Sacramento Kings,"  610,000 "
Bob Hansen,1991,Sacramento Kings,"  550,000 "
Cliff Robinson,1991,Portland Trailblazers,"  250,000 "
Rory Sparrow,1991,Sacramento Kings,"  300,000 "
Rick Calloway,1991,Sacramento Kings,"  125,000 "
Anthony Frederick,1991,Sacramento Kings,"  30,000 "
Jim Les,1991,Sacramento Kings,"  30,000 "
David Robinson,1991,San Antonio Spurs,"  2,265,000 "
Terry Cummings,1991,San Antonio Spurs,"  1,860,000 "
Sean Elliott,1991,San Antonio Spurs,"  1,800,000 "
Paul Pressey,1991,San Antonio Spurs,"  900,000 "
Sidney Green,1991,San Antonio Spurs,"  837,000 "
Steve Colter,1991,Sacramento Kings,"  300,000 "
David Wingate,1991,San Antonio Spurs,"  750,000 "
Alaa Abdelnaby,1991,Portland Trailblazers,"  395,000 "
Danny Young,1991,Portland Trailblazers,"  450,000 "
Kurt Rambis,1991,Phoenix Suns,"  900,000 "
Mark West,1991,Phoenix Suns,"  875,000 "
Tim Perry,1991,Phoenix Suns,"  675,000 "
Andrew Lang,1991,Phoenix Suns,"  600,000 "
Ed Nealy,1991,Phoenix Suns,"  550,000 "
Negele Knight,1991,Phoenix Suns,"  468,000 "
Dan Majerle,1991,Phoenix Suns,"  430,000 "
Joe Barry Carroll,1991,Phoenix Suns,"  350,000 "
Mark Bryant,1991,Portland Trailblazers,"  405,000 "
Cedric Ceballos,1991,Phoenix Suns,"  175,000 "
Terry Porter,1991,Portland Trailblazers,"  2,000,000 "
Kevin Duckworth,1991,Portland Trailblazers,"  1,710,000 "
Buck Williams,1991,Portland Trailblazers,"  1,550,000 "
Clyde Drexler,1991,Portland Trailblazers,"  1,180,000 "
Wayne Cooper,1991,Portland Trailblazers,"  1,100,000 "
Walter Davis,1991,Portland Trailblazers,"  900,000 "
Danny Ainge,1991,Portland Trailblazers,"  725,000 "
Jerome Kersey,1991,Portland Trailblazers,"  550,000 "
Ian Lockhart,1991,Phoenix Suns,"  130,000 "
Willie Anderson,1991,San Antonio Spurs,"  725,000 "
Dave Greenwood,1991,San Antonio Spurs,"  650,000 "
Dwayne Schintzius,1991,San Antonio Spurs,"  520,000 "
Blue Edwards,1991,Utah Jazz,"  360,000 "
Walter Palmer,1991,Utah Jazz,"  225,000 "
Delaney Rudd,1991,Utah Jazz,"  215,000 "
Andy Toolson,1991,Utah Jazz,"  120,000 "
Alan Bannister,1991,Utah Jazz,"  50,000 "
Tony Brown,1991,Utah Jazz,"  50,000 "
Pervis Ellison,1991,Washington Bullets,"  2,300,000 "
Bernard King,1991,Washington Bullets,"  1,600,000 "
Mike Brown,1991,Utah Jazz,"  650,000 "
John Williams,1991,Washington Bullets,"  1,000,000 "
Charles Jones,1991,Washington Bullets,"  675,000 "
Darrell Walker,1991,Washington Bullets,"  610,000 "
Ledell Eackles,1991,Washington Bullets,"  605,000 "
Mark Alarie,1991,Washington Bullets,"  500,000 "
Harvey Grant,1991,Washington Bullets,"  475,000 "
Byron Irvin,1991,Washington Bullets,"  375,000 "
A.J. English,1991,Washington Bullets,"  275,000 "
Kevin Edwards,1991,Miami Heat,"  425,000 "
Tom Hammonds,1991,Washington Bullets,"  800,000 "
Darrell Griffith,1991,Utah Jazz,"  850,000 "
Jeff Malone,1991,Utah Jazz,"  915,000 "
Thurl Bailey,1991,Utah Jazz,"  1,000,000 "
Rod Strickland,1991,San Antonio Spurs,"  400,000 "
Tony Massenburg,1991,San Antonio Spurs,"  150,000 "
Avery Johnson,1991,San Antonio Spurs,"  50,000 "
Benoit Benjamin,1991,Seattle SuperSonics,"  1,750,000 "
Gary Payton,1991,Seattle SuperSonics,"  1,685,000 "
Ricky Pierce,1991,Seattle SuperSonics,"  1,100,000 "
Eddie Johnson,1991,Seattle SuperSonics,"  1,000,000 "
Derrick McKey,1991,Seattle SuperSonics,"  962,000 "
Michael Cage,1991,Seattle SuperSonics,"  910,000 "
Nate McMillan,1991,Seattle SuperSonics,"  658,000 "
Sedale Threatt,1991,Seattle SuperSonics,"  650,000 "
Dana Barros,1991,Seattle SuperSonics,"  500,000 "
Quintin Dailey,1991,Seattle SuperSonics,"  425,000 "
Shawn Kemp,1991,Seattle SuperSonics,"  350,000 "
Dave Corzine,1991,Seattle SuperSonics,"  300,000 "
Scott Meents,1991,Seattle SuperSonics,"  300,000 "
Karl Malone,1991,Utah Jazz,"  2,260,000 "
John Stockton,1991,Utah Jazz,"  2,000,000 "
Mark Eaton,1991,Utah Jazz,"  2,000,000 "
Jeff Hornacek,1991,Phoenix Suns,"  1,100,000 "
Xavier McDaniel,1991,Phoenix Suns,"  1,400,000 "
Sean Higgins,1991,San Antonio Spurs,"  150,000 "
Tom Chambers,1991,Phoenix Suns,"  2,060,000 "
Randy Breuer,1991,Minnesota Timberwolves,"  1,150,000 "
Felton Spencer,1991,Minnesota Timberwolves,"  1,070,000 "
Tyrone Corbin,1991,Minnesota Timberwolves,"  830,000 "
Pooh Richardson,1991,Minnesota Timberwolves,"  615,000 "
Tod Murphy,1991,Minnesota Timberwolves,"  590,000 "
Gerald Glass,1991,Minnesota Timberwolves,"  575,000 "
Sam Mitchell,1991,Minnesota Timberwolves,"  500,000 "
Bob Thornton,1991,Minnesota Timberwolves,"  335,000 "
Tony Campbell,1991,Minnesota Timberwolves,"  1,200,000 "
Scott Brooks,1991,Minnesota Timberwolves,"  295,000 "
Richard Coffey,1991,Minnesota Timberwolves,"  150,000 "
Derrick Coleman,1991,New Jersey Nets,"  2,100,000 "
Sam Bowie,1991,New Jersey Nets,"  2,000,000 "
Roy Hinson,1991,New Jersey Nets,"  1,250,000 "
Drazen Petrovic,1991,New Jersey Nets,"  1,200,000 "
Chris Dudley,1991,New Jersey Nets,"  950,000 "
Reggie Theus,1991,New Jersey Nets,"  765,000 "
Chris Morris,1991,New Jersey Nets,"  750,000 "
Doug West,1991,Minnesota Timberwolves,"  230,000 "
Terry Mills,1991,New Jersey Nets,"  600,000 "
Frank Kornet,1991,Milwaukee Bucks,"  225,000 "
Larry Krystkowiak,1991,Milwaukee Bucks,"  605,000 "
Kevin Johnson,1991,Phoenix Suns,"  1,750,000 "
Jon Sundvold,1991,Miami Heat,"  335,000 "
Sherman Douglas,1991,Miami Heat,"  325,000 "
Grant Long,1991,Miami Heat,"  300,000 "
Bimbo Coles,1991,Miami Heat,"  290,000 "
Terry Davis,1991,Miami Heat,"  250,000 "
Keith Askins,1991,Miami Heat,"  150,000 "
Alan Ogg,1991,Miami Heat,"  130,000 "
Adrian Dantley,1991,Milwaukee Bucks,"  400,000 "
Jack Sikma,1991,Milwaukee Bucks,"  1,600,000 "
Brad Lohaus,1991,Milwaukee Bucks,"  1,275,000 "
Dale Ellis,1991,Milwaukee Bucks,"  1,250,000 "
Frank Brickowski,1991,Milwaukee Bucks,"  905,000 "
Lester Conner,1991,Milwaukee Bucks,"  900,000 "
Alvin Robertson,1991,Milwaukee Bucks,"  870,000 "
Fred Roberts,1991,Milwaukee Bucks,"  690,000 "
Jay Humphries,1991,Milwaukee Bucks,"  650,000 "
Jeff Grayer,1991,Milwaukee Bucks,"  605,000 "
Danny Schayes,1991,Milwaukee Bucks,"  1,500,000 "
Mookie Blaylock,1991,New Jersey Nets,"  525,000 "
Steve Henson,1991,Milwaukee Bucks,"  120,000 "
Jack Haley,1991,New Jersey Nets,"  360,000 "
Otis Smith,1991,Orlando Magic,"  450,000 "
Mark Acres,1991,Orlando Magic,"  437,000 "
Jeff Turner,1991,Orlando Magic,"  410,000 "
Scott Skiles,1991,Orlando Magic,"  408,000 "
Morlon Wiley,1991,Orlando Magic,"  347,000 "
Michael Ansley,1991,Orlando Magic,"  200,000 "
Charles Barkley,1991,Philadelphia 76ers,"  2,900,000 "
Rick Mahorn,1991,Philadelphia 76ers,"  1,330,000 "
Manute Bol,1991,Philadelphia 76ers,"  1,300,000 "
Armen Gilliam,1991,Philadelphia 76ers,"  1,200,000 "
Hersey Hawkins,1991,Philadelphia 76ers,"  1,000,000 "
Jayson Williams,1991,Philadelphia 76ers,"  500,000 "
Brian Oliver,1991,Philadelphia 76ers,"  455,000 "
Ron Anderson,1991,Philadelphia 76ers,"  425,000 "
Dave Hoppen,1991,Philadelphia 76ers,"  400,000 "
Kenny Payne,1991,Philadelphia 76ers,"  400,000 "
Rickey Green,1991,Philadelphia 76ers,"  120,000 "
Tate George,1991,New Jersey Nets,"  410,000 "
Andre Turner,1991,Philadelphia 76ers,"  110,000 "
Jerry Reynolds,1991,Orlando Magic,"  450,000 "
Greg Kite,1991,Orlando Magic,"  480,000 "
Johnny Dawkins,1991,Philadelphia 76ers,"  1,500,000 "
Nick Anderson,1991,Orlando Magic,"  725,000 "
Jud Buechler,1991,New Jersey Nets,"  225,000 "
Derrick Gervin,1991,New Jersey Nets,"  155,000 "
Kurk Lee,1991,New Jersey Nets,"  120,000 "
Patrick Ewing,1991,New York Knicks,"  4,250,000 "
Mark Jackson,1991,New York Knicks,"  1,785,000 "
Charles Oakley,1991,New York Knicks,"  1,050,000 "
Maurice Cheeks,1991,New York Knicks,"  1,000,000 "
Kenny Walker,1991,New York Knicks,"  875,000 "
Trent Tucker,1991,New York Knicks,"  835,000 "
Kiki Vandeweghe,1991,New York Knicks,"  1,025,000 "
Jerrod Mustaf,1991,New York Knicks,"  565,000 "
Eddie Lee Wilkins,1991,New York Knicks,"  400,000 "
Brian Quinnett,1991,New York Knicks,"  360,000 "
Greg Grant,1991,New York Knicks,"  300,000 "
John Starks,1991,New York Knicks,"  120,000 "
Dennis Scott,1991,Orlando Magic,"  1,560,000 "
Terry Catledge,1991,Orlando Magic,"  1,085,000 "
Gerald Wilkins,1991,New York Knicks,"  725,000 "
Sam Vincent,1991,Orlando Magic,"  980,000 "
Jim Petersen,1992,Golden State Warriors,"  936,000 "
Mario Elie,1992,Golden State Warriors,"  130,000 "
Vincent Askew,1992,Golden State Warriors,"  135,000 "
Tom Tolbert,1992,Golden State Warriors,"  506,000 "
Victor Alexander,1992,Golden State Warriors,"  750,000 "
Tim Hardaway,1992,Golden State Warriors,"  640,000 "
Chris Gatling,1992,Golden State Warriors,"  700,000 "
Hakeem Olajuwon,1992,Houston Rockets,"  3,170,000 "
Rod Higgins,1992,Golden State Warriors,"  550,000 "
Otis Thorpe,1992,Houston Rockets,"  1,786,000 "
Tree Rollins,1992,Houston Rockets,"  375,000 "
Sleepy Floyd,1992,Houston Rockets,"  1,500,000 "
Larry Smith,1992,Houston Rockets,"  997,000 "
Dave Jamerson,1992,Houston Rockets,"  840,000 "
Buck Johnson,1992,Houston Rockets,"  775,000 "
Mike Woodson,1992,Houston Rockets,"  658,000 "
John Turner,1992,Houston Rockets,"  615,000 "
Vernon Maxwell,1992,Houston Rockets,"  325,000 "
Carl Herrera,1992,Houston Rockets,"  325,000 "
Tyrone Hill,1992,Golden State Warriors,"  1,200,000 "
Kenny Smith,1992,Houston Rockets,"  1,633,000 "
Sarunas Marciulionis,1992,Golden State Warriors,"  1,267,000 "
Marcus Liberty,1992,Denver Nuggets,"  260,000 "
Billy Owens,1992,Golden State Warriors,"  1,509,000 "
Winston Garland,1992,Denver Nuggets,"  450,000 "
Matt Bullard,1992,Houston Rockets,"  275,000 "
Reggie Williams,1992,Denver Nuggets,"  425,000 "
Walter Davis,1992,Denver Nuggets,"  215,000 "
Isiah Thomas,1992,Detroit Pistons,"  2,960,000 "
John Salley,1992,Detroit Pistons,"  2,000,000 "
Vinnie Johnson,1992,Detroit Pistons,"  1,450,000 "
Bill Laimbeer,1992,Detroit Pistons,"  1,369,000 "
Joe Dumars,1992,Detroit Pistons,"  1,295,000 "
Alton Lister,1992,Golden State Warriors,"  1,333,000 "
Mark Aguirre,1992,Detroit Pistons,"  1,232,000 "
Orlando Woolridge,1992,Detroit Pistons,"  957,000 "
William Bedford,1992,Detroit Pistons,"  900,000 "
Darrell Walker,1992,Detroit Pistons,"  665,000 "
Brad Sellers,1992,Detroit Pistons,"  600,000 "
Lance Blanks,1992,Detroit Pistons,"  415,000 "
Mark Hughes,1992,Detroit Pistons,"  250,000 "
Bob McCann,1992,Detroit Pistons,"  130,000 "
Charles Thomas,1992,Detroit Pistons,"  130,000 "
Chris Mullin,1992,Golden State Warriors,"  2,844,000 "
Dennis Rodman,1992,Detroit Pistons,"  1,075,000 "
Reggie Miller,1992,Indiana Pacers,"  3,211,000 "
Willie Burton,1992,Miami Heat,"  1,402,000 "
LaSalle Thompson,1992,Indiana Pacers,"  2,000,000 "
Tony Brown,1992,Los Angeles Clippers,"  130,000 "
Sam Perkins,1992,Los Angeles Lakers,"  2,507,000 "
Magic Johnson,1992,Los Angeles Lakers,"  2,500,000 "
Mychal Thompson,1992,Los Angeles Lakers,"  1,807,000 "
A.C. Green,1992,Los Angeles Lakers,"  1,750,000 "
James Worthy,1992,Los Angeles Lakers,"  1,750,000 "
Byron Scott,1992,Los Angeles Lakers,"  1,100,000 "
Vlade Divac,1992,Los Angeles Lakers,"  942,000 "
Terry Teagle,1992,Los Angeles Lakers,"  700,000 "
Lanard Copeland,1992,Los Angeles Clippers,"  130,000 "
Larry Drew,1992,Los Angeles Lakers,"  600,000 "
Tony Smith,1992,Los Angeles Lakers,"  400,000 "
Jack Haley,1992,Los Angeles Lakers,"  300,000 "
Keith Owens,1992,Los Angeles Lakers,"  130,000 "
Steve Smith,1992,Miami Heat,"  2,250,000 "
Rony Seikaly,1992,Miami Heat,"  2,002,000 "
Glen Rice,1992,Miami Heat,"  1,302,000 "
Sherman Douglas,1992,Miami Heat,"  1,250,000 "
Alec Kessler,1992,Miami Heat,"  1,122,000 "
Anthony Cook,1992,Denver Nuggets,"  480,000 "
Elden Campbell,1992,Los Angeles Lakers,"  575,000 "
Elliot Perry,1992,Los Angeles Clippers,"  130,000 "
LeRon Ellis,1992,Los Angeles Clippers,"  180,000 "
Ken Bannister,1992,Los Angeles Clippers,"  300,000 "
Rik Smits,1992,Indiana Pacers,"  1,350,000 "
Detlef Schrempf,1992,Indiana Pacers,"  1,278,000 "
George McCloud,1992,Indiana Pacers,"  990,000 "
Mike Sanders,1992,Indiana Pacers,"  860,000 "
Vern Fleming,1992,Indiana Pacers,"  760,000 "
Greg Dreiling,1992,Indiana Pacers,"  600,000 "
Randy Wittman,1992,Indiana Pacers,"  550,000 "
Micheal Williams,1992,Indiana Pacers,"  500,000 "
Dale Davis,1992,Indiana Pacers,"  430,000 "
Kenny Williams,1992,Indiana Pacers,"  275,000 "
Sean Green,1992,Indiana Pacers,"  130,000 "
Danny Manning,1992,Los Angeles Clippers,"  2,300,000 "
Ron Harper,1992,Los Angeles Clippers,"  1,650,000 "
Doc Rivers,1992,Los Angeles Clippers,"  1,195,000 "
Bo Kimble,1992,Los Angeles Clippers,"  1,150,000 "
Ken Norman,1992,Los Angeles Clippers,"  1,150,000 "
Charles Smith,1992,Los Angeles Clippers,"  1,050,000 "
Loy Vaught,1992,Los Angeles Clippers,"  1,000,000 "
James Edwards,1992,Los Angeles Clippers,"  933,000 "
Gary Grant,1992,Los Angeles Clippers,"  928,000 "
Olden Polynice,1992,Los Angeles Clippers,"  750,000 "
Chuck Person,1992,Indiana Pacers,"  2,156,000 "
Scott Hastings,1992,Denver Nuggets,"  500,000 "
Alexander Volkov,1992,Atlanta Hawks,"  675,000 "
Todd Lichti,1992,Denver Nuggets,"  565,000 "
Rick Fox,1992,Boston Celtics,"  525,000 "
Rickey Green,1992,Boston Celtics,"  315,000 "
Jim Paxson,1992,Boston Celtics,"  225,000 "
A.J. Wynder,1992,Boston Celtics,"  130,000 "
Kevin Pritchard,1992,Boston Celtics,"  130,000 "
Larry Johnson,1992,Charlotte Hornets,"  1,955,000 "
Kendall Gill,1992,Charlotte Hornets,"  1,908,000 "
Mike Gminski,1992,Charlotte Hornets,"  1,850,000 "
J.R. Reid,1992,Charlotte Hornets,"  1,250,000 "
John Bagley,1992,Boston Celtics,"  550,000 "
Johnny Newman,1992,Charlotte Hornets,"  1,206,000 "
Rex Chapman,1992,Charlotte Hornets,"  940,000 "
Muggsy Bogues,1992,Charlotte Hornets,"  906,000 "
Eric Leckner,1992,Charlotte Hornets,"  618,000 "
Kenny Gattison,1992,Charlotte Hornets,"  456,000 "
Mike Holton,1992,Charlotte Hornets,"  400,000 "
Anthony Frederick,1992,Charlotte Hornets,"  130,000 "
Michael Jordan,1992,Chicago Bulls,"  3,250,000 "
Scottie Pippen,1992,Chicago Bulls,"  2,770,000 "
Bill Cartwright,1992,Chicago Bulls,"  2,000,000 "
Dell Curry,1992,Charlotte Hornets,"  1,006,000 "
Michael Smith,1992,Boston Celtics,"  625,000 "
Stojko Vrankovic,1992,Boston Celtics,"  665,000 "
Dee Brown,1992,Boston Celtics,"  705,000 "
Dominique Wilkins,1992,Atlanta Hawks,"  3,100,000 "
Jon Koncak,1992,Atlanta Hawks,"  2,000,000 "
Blair Rasmussen,1992,Atlanta Hawks,"  1,558,000 "
Rumeal Robinson,1992,Atlanta Hawks,"  1,025,000 "
