Player,Year,Team, Salary 
Shandon Anderson,2001,Houston Rockets,"  2,200,000 "
Matt Bullard,2001,Houston Rockets,"  2,100,000 "
Matt Maloney,2001,Houston Rockets,"  1,790,000 "
Kelvin Cato,2001,Houston Rockets,"  5,330,000 "
Chucky Atkins,2001,Detroit Pistons,"  3,000,000 "
Kenny Thomas,2001,Houston Rockets,"  885,120 "
Moochie Norris,2001,Houston Rockets,"  523,500 "
Dan Langhi,2001,Houston Rockets,"  316,969 "
Reggie Miller,2001,Indiana Pacers,"  10,670,000 "
Jalen Rose,2001,Indiana Pacers,"  9,660,000 "
Jermaine O'Neal,2001,Indiana Pacers,"  5,710,000 "
Derrick McKey,2001,Indiana Pacers,"  5,400,000 "
Austin Croshere,2001,Indiana Pacers,"  5,300,000 "
Chris Mullin,2001,Indiana Pacers,"  3,650,000 "
Travis Best,2001,Indiana Pacers,"  3,500,000 "
Randy Livingston,2001,Golden State Warriors,"  20,000 "
Jonathan Bender,2001,Indiana Pacers,"  2,380,680 "
Sam Perkins,2001,Indiana Pacers,"  2,250,000 "
Jason Collier,2001,Houston Rockets,"  1,190,760 "
Marc Jackson,2001,Golden State Warriors,"  316,969 "
Chris Mills,2001,Golden State Warriors,"  4,800,000 "
Bill Curley,2001,Golden State Warriors,"  611,000 "
Jerome Williams,2001,Detroit Pistons,"  2,870,000 "
Joe Kleine,2001,Indiana Pacers,"  1,200,000 "
Mikki Moore,2001,Detroit Pistons,"  2,850,000 "
Joe Smith,2001,Detroit Pistons,"  2,250,000 "
Eric Montross,2001,Detroit Pistons,"  2,240,000 "
John Wallace,2001,Detroit Pistons,"  2,200,000 "
Michael Curry,2001,Detroit Pistons,"  2,200,000 "
Billy Owens,2001,Detroit Pistons,"  2,100,000 "
Eric Murdock,2001,Detroit Pistons,"  2,100,000 "
Mateen Cleaves,2001,Detroit Pistons,"  1,253,400 "
Ansu Sesay,2001,Detroit Pistons,"  508,000 "
Brian Cardinal,2001,Detroit Pistons,"  316,969 "
Torraye Braggs,2001,Detroit Pistons,"  316,969 "
Erick Dampier,2001,Golden State Warriors,"  5,610,000 "
Mookie Blaylock,2001,Golden State Warriors,"  4,800,000 "
Bob Sura,2001,Golden State Warriors,"  4,390,000 "
Danny Fortson,2001,Golden State Warriors,"  3,950,000 "
Adonal Foyle,2001,Golden State Warriors,"  3,580,000 "
Adam Keefe,2001,Golden State Warriors,"  3,390,000 "
Antawn Jamison,2001,Golden State Warriors,"  2,678,400 "
Terry Cummings,2001,Golden State Warriors,"  2,200,000 "
Vinny Del Negro,2001,Golden State Warriors,"  2,100,000 "
Larry Hughes,2001,Golden State Warriors,"  1,842,480 "
Chris Mullin,2001,Golden State Warriors,"  1,000,000 "
Vonteego Cummings,2001,Golden State Warriors,"  757,200 "
Chris Porter,2001,Golden State Warriors,"  316,969 "
Zan Tabak,2001,Indiana Pacers,"  1,200,000 "
Greg Foster,2001,Los Angeles Lakers,"  1,760,000 "
Jeff Foster,2001,Indiana Pacers,"  922,080 "
Tyronn Lue,2001,Los Angeles Lakers,"  865,800 "
Devean George,2001,Los Angeles Lakers,"  849,720 "
